ts_iso,elapsed_s,class,kind,run_status,latency_s,ok,ans_chars,err
2026-05-29T11:09:52+00:00,296.2,adversarial,prompt_injection,content_filtered,0.50,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:09:53+00:00,296.7,edge,typos,completed,1.42,1,117,
2026-05-29T11:09:38+00:00,281.8,edge,ambiguous,completed,27.56,1,313,
2026-05-29T11:09:54+00:00,298.1,edge,ambiguous,completed,51.97,1,116,
2026-05-29T11:10:46+00:00,350.0,adversarial,pii_fishing,completed,2.28,1,215,
2026-05-29T11:10:49+00:00,352.3,adversarial,jailbreak,content_filtered,0.67,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:10:49+00:00,353.0,adversarial,prompt_injection,content_filtered,0.62,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:10:50+00:00,353.6,edge,non_english,completed,5.20,1,1052,
2026-05-29T11:10:55+00:00,358.8,edge,policy_question_long,completed,6.76,1,3462,
2026-05-29T11:11:02+00:00,365.6,adversarial,jailbreak,content_filtered,0.57,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:10:06+00:00,309.3,normal,plan_trip,completed,57.39,1,985,
2026-05-29T11:11:02+00:00,366.2,edge,ambiguous,completed,1.66,1,251,
2026-05-29T11:11:03+00:00,366.7,normal,inline_summary,completed,1.64,1,138,
2026-05-29T11:11:04+00:00,367.8,adversarial,prompt_injection,content_filtered,0.58,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:11:05+00:00,368.4,normal,policy_question,completed,2.21,1,314,
2026-05-29T11:11:07+00:00,370.6,normal,policy_question,completed,1.72,1,245,
2026-05-29T11:09:49+00:00,292.2,edge,typos,completed,112.10,1,102,
2026-05-29T11:11:41+00:00,404.3,edge,typos,completed,2.60,1,231,
2026-05-29T11:09:39+00:00,282.2,normal,receipt_expense,completed,128.24,1,191,
2026-05-29T11:11:43+00:00,406.9,normal,inline_summary,completed,47.66,1,444,
2026-05-29T11:12:31+00:00,454.6,adversarial,off_topic,completed,2.19,1,199,
2026-05-29T11:12:33+00:00,456.8,adversarial,prompt_injection,content_filtered,0.46,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:11:05+00:00,368.4,normal,receipt_expense,completed,122.60,1,196,
2026-05-29T11:13:07+00:00,491.0,adversarial,pii_fishing,completed,2.74,1,166,
2026-05-29T11:12:34+00:00,457.2,edge,typos,completed,38.42,1,765,
2026-05-29T11:13:10+00:00,493.7,normal,receipt_expense,completed,2.01,1,193,
2026-05-29T11:13:12+00:00,495.6,normal,policy_question,completed,1.97,1,149,
2026-05-29T11:13:12+00:00,495.7,normal,policy_question,completed,2.33,1,441,
2026-05-29T11:13:14+00:00,497.6,adversarial,prompt_injection,content_filtered,0.51,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:13:14+00:00,498.1,normal,policy_question,completed,1.57,1,143,
2026-05-29T11:13:14+00:00,498.1,normal,inline_summary,completed,1.87,1,417,
2026-05-29T11:13:16+00:00,499.7,edge,policy_question_long,completed,18.77,1,3389,
2026-05-29T11:13:35+00:00,518.4,adversarial,off_topic,completed,2.15,1,199,
2026-05-29T11:11:09+00:00,372.3,normal,receipt_expense,completed,163.40,1,282,
2026-05-29T11:13:58+00:00,542.1,normal,receipt_expense,completed,15.16,1,301,
2026-05-29T11:14:14+00:00,557.3,edge,multi_intent,completed,3.47,1,756,
2026-05-29T11:13:45+00:00,529.0,edge,multi_intent,completed,32.45,1,593,
2026-05-29T11:14:17+00:00,560.8,normal,inline_summary,completed,2.88,1,407,
2026-05-29T11:13:22+00:00,505.4,edge,ambiguous,completed,72.28,1,270,
2026-05-29T11:14:40+00:00,583.6,normal,plan_trip,completed,4.49,1,852,
2026-05-29T11:14:44+00:00,588.1,normal,plan_trip,completed,2.95,1,796,
2026-05-29T11:14:20+00:00,563.6,normal,plan_trip,completed,31.15,1,1238,
2026-05-29T11:11:47+00:00,410.5,edge,multi_intent,completed,185.97,1,748,
2026-05-29T11:14:18+00:00,561.4,edge,multi_intent,completed,35.10,1,685,
2026-05-29T11:14:59+00:00,602.7,normal,policy_question,completed,2.73,1,322,
2026-05-29T11:14:58+00:00,601.5,normal,plan_trip,completed,5.14,1,683,
2026-05-29T11:15:16+00:00,619.7,edge,multi_intent,completed,3.62,1,808,
2026-05-29T11:15:31+00:00,634.8,normal,plan_trip,completed,2.70,1,335,
2026-05-29T11:15:18+00:00,622.0,normal,receipt_expense,completed,20.28,1,507,
2026-05-29T11:16:01+00:00,664.3,normal,receipt_expense,completed,3.09,1,361,
